Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Deliveries_Lag1,Rolling_Mean_3
2022,7,1,2,11182,11651,57416.91,60,333,558.54,0,6494,13583.0,12598.666666666666
2019,4,0,3,11163,12314,69143.22,82,481,805.41,0,3619,11182.0,11976.0
2023,1,3,2,9835,9882,92861.79,82,480,708.12,1,8000,11163.0,10726.666666666666
2017,8,0,3,7581,8402,95971.06,100,585,665.23,2,3100,9835.0,9526.333333333334
2025,1,3,3,6076,6746,50549.14,120,692,630.69,2,12525,7581.0,7830.666666666667
2018,12,3,0,8427,9430,115869.46,82,476,601.69,0,11899,6076.0,7361.333333333333
2024,5,3,0,14312,14795,83375.67,60,333,714.88,0,7740,8427.0,9605.0
2021,2,2,1,14163,14499,98168.24,100,556,1181.19,1,8104,14312.0,12300.666666666666
2025,9,3,1,11340,11791,81180.36,60,351,597.05,0,7510,14163.0,13271.666666666666
2025,11,1,0,9171,10536,97489.87,100,586,806.13,1,5555,11340.0,11558.0
2024,9,0,3,8409,8777,103557.81,100,588,741.67,2,6509,9171.0,9640.0
2016,9,1,3,14559,15638,107977.45,60,340,742.51,2,5085,8409.0,10713.0
2024,2,0,0,17392,19926,55857.67,75,446,1163.52,1,4513,14559.0,13453.333333333334
2015,3,3,0,5716,6522,116775.0,60,357,306.09,1,7441,17392.0,12555.666666666666
2015,4,0,4,7633,8492,102818.0,82,455,520.95,0,13830,5716.0,10247.0
2018,7,3,2,7131,8189,97902.0,82,489,523.06,2,4710,7633.0,6826.666666666667
2025,3,0,3,11956,13742,58158.12,120,710,1273.31,0,8997,7131.0,8906.666666666666
2017,4,0,0,5651,5846,50103.17,75,439,372.12,1,14602,11956.0,8246.0
2018,8,3,3,1240,1336,112760.23,82,459,85.37,2,3270,5651.0,6282.333333333333
2025,5,3,3,11008,11674,110366.63,75,419,691.85,0,9530,1240.0,5966.333333333333
2022,12,1,0,8171,9073,60650.35,82,488,598.12,2,13713,11008.0,6806.333333333333
2018,2,2,0,15273,15975,52818.06,100,579,1326.46,0,7772,8171.0,11484.0
2021,5,0,2,9541,9929,109857.66,100,567,811.46,2,14676,15273.0,10995.0
2018,5,0,2,5894,6491,77715.61,120,705,623.29,0,8450,9541.0,10236.0
2015,7,3,0,4405,4472,60700.14,60,337,222.67,2,4928,5894.0,6613.333333333333
2021,8,3,2,7933,8430,85597.72,82,470,559.28,2,6248,4405.0,6077.333333333333
2024,8,1,1,11880,13074,62262.24,75,430,766.26,0,10781,7933.0,8072.666666666667
2020,3,3,3,11918,13671,60898.48,60,336,600.67,1,5541,11880.0,10577.0
2019,1,3,1,13075,13668,87272.96,120,693,1359.15,0,10206,11918.0,12291.0
2015,4,0,2,13598,15097,106243.67,100,564,1150.39,2,5129,13075.0,12863.666666666666
2019,4,2,3,13892,15134,101770.68,100,560,1166.93,1,13099,13598.0,13521.666666666666
2017,8,3,2,11311,12214,58077.62,60,348,590.43,0,4406,13892.0,12933.666666666666
2018,8,0,0,6880,7303,64678.32,120,718,740.98,1,10747,11311.0,10694.333333333334
2024,12,0,2,10239,11592,94708.94,120,683,1048.99,0,8109,6880.0,9476.666666666666
2022,10,2,1,8455,9204,85264.14,60,349,442.62,0,14674,10239.0,8524.666666666666
2020,9,1,1,6496,6966,112078.21,75,426,415.09,1,11996,8455.0,8396.666666666666
2017,1,3,2,6113,6850,69513.19,60,336,308.1,0,14489,6496.0,7021.333333333333
2021,10,2,3,11128,11881,78561.41,60,350,584.22,2,5998,6113.0,7912.333333333333
2016,1,0,0,8067,8485,75972.71,75,449,543.31,1,3481,11128.0,8436.0
2016,10,3,2,6258,7036,69706.48,60,356,334.18,2,4350,8067.0,8484.333333333334
2023,12,0,2,5649,6211,64983.67,120,685,580.43,0,5372,6258.0,6658.0
2015,12,0,4,5719,6486,66096.82,82,459,393.75,2,3373,5649.0,5875.333333333333
2016,10,3,3,9922,10370,91885.02,120,677,1007.58,2,6599,5719.0,7096.666666666667
2021,2,0,0,7648,8340,61475.22,60,352,403.81,1,6614,9922.0,7763.0
2022,9,2,4,6952,7464,103792.75,82,460,479.69,0,6233,7648.0,8174.0
2024,7,1,1,1492,1661,88072.56,75,445,99.59,1,9522,6952.0,5364.0
2020,10,2,0,18392,19806,68744.2,120,687,1895.3,1,8649,1492.0,8945.333333333334
2017,5,1,3,8451,9514,50799.26,82,479,607.2,1,14643,18392.0,9445.0
2020,9,3,1,11467,13072,100397.17,120,705,1212.64,2,5628,8451.0,12770.0
2019,8,3,2,11480,11915,54709.92,82,461,793.84,1,13946,11467.0,10466.0
2019,9,1,2,9082,9942,88005.83,100,556,757.44,0,7509,11480.0,10676.333333333334
2023,1,1,4,14836,16172,97728.31,75,449,999.2,1,5788,9082.0,11799.333333333334
2024,3,3,3,8283,8391,70066.15,75,441,547.92,1,4819,14836.0,10733.666666666666
2015,12,3,1,10586,11907,85522.74,120,660,1048.01,1,6444,8283.0,11235.0
2020,8,1,0,10062,10568,103557.46,82,468,706.35,0,8810,10586.0,9643.666666666666
2021,11,2,2,11748,13383,107986.47,120,679,1196.53,2,5847,10062.0,10798.666666666666
2023,1,2,3,6197,6673,66969.32,82,458,425.73,2,3778,11748.0,9335.666666666666
2023,11,3,3,5365,6034,71688.78,60,358,288.1,1,5155,6197.0,7770.0
2025,8,0,2,11848,12443,104498.21,120,711,1263.59,0,8227,5365.0,7803.333333333333
2022,6,3,4,10312,11133,106390.66,82,483,747.1,0,9976,11848.0,9175.0
2016,3,2,4,5249,5829,110395.8,120,673,529.89,0,4148,10312.0,9136.333333333334
2025,12,1,1,16501,18884,108207.45,100,573,1418.26,1,11849,5249.0,10687.333333333334
2019,3,2,4,13191,14990,50432.87,120,708,1400.88,2,14380,16501.0,11647.0
2021,3,1,1,6907,6946,58613.65,100,599,620.59,2,6782,13191.0,12199.666666666666
2021,4,1,1,11164,11825,84455.13,120,712,1192.32,2,7954,6907.0,10420.666666666666
2020,2,1,4,13825,15834,83894.92,120,663,1374.9,2,9620,11164.0,10632.0
2020,5,0,2,5784,6156,70108.04,100,586,508.41,0,8440,13825.0,10257.666666666666
2019,6,3,1,12341,12850,94737.55,120,680,1258.78,2,14972,5784.0,10650.0
2021,10,1,4,12459,12777,112819.33,75,437,816.69,2,13582,12341.0,10194.666666666666
2016,10,0,4,12205,12670,75329.72,75,430,787.22,2,3547,12459.0,12335.0
2020,3,0,4,10062,11450,68947.85,82,466,703.33,2,9827,12205.0,11575.333333333334
2020,2,3,1,11404,11966,72021.13,100,575,983.59,1,14288,10062.0,11223.666666666666
2025,6,0,1,9808,10413,100126.43,120,666,979.82,0,6245,11404.0,10424.666666666666
2019,9,2,3,8123,8610,116300.71,100,570,694.52,1,12262,9808.0,9778.333333333334
2016,12,3,2,9646,9877,51634.65,120,705,1020.06,1,8502,8123.0,9192.333333333334
2025,10,0,3,5013,5164,54937.4,75,441,331.61,2,5996,9646.0,7594.0
2021,8,0,1,10980,11716,105290.52,75,435,716.44,2,4357,5013.0,8546.333333333334
2022,11,2,4,21296,23581,57673.97,60,352,1124.43,0,4630,10980.0,12429.666666666666
2018,5,2,0,7086,8012,90388.71,120,680,722.77,2,12636,21296.0,13120.666666666666
2016,4,2,4,12146,12776,118292.71,120,698,1271.69,2,12869,7086.0,13509.333333333334
2019,2,2,0,17194,18978,96293.99,75,413,1065.17,1,7419,12146.0,12142.0
2023,1,3,1,18636,20752,65890.09,82,460,1285.88,2,4937,17194.0,15992.0
2023,5,3,4,14130,16020,52154.82,75,440,932.58,2,12105,18636.0,16653.333333333332
2020,2,1,0,19298,21732,119779.45,100,571,1652.87,1,6843,14130.0,17354.666666666668
2019,6,2,2,6954,7148,63176.25,100,559,583.09,0,3684,19298.0,13460.666666666666
2021,7,1,2,1889,1946,81630.83,120,707,200.33,0,10085,6954.0,9380.333333333334
2019,7,2,0,13064,14557,115532.36,100,597,1169.88,1,5097,1889.0,7302.333333333333
2023,12,2,0,8570,9786,60142.91,75,419,538.62,0,13352,13064.0,7841.0
2015,3,3,4,11364,12347,84476.24,75,419,714.23,2,11669,8570.0,10999.333333333334
2020,1,0,2,16393,16411,86274.4,75,413,1015.55,1,9830,11364.0,12109.0
2015,9,0,4,14196,15525,78658.82,120,693,1475.67,0,8233,16393.0,13984.333333333334
2023,6,0,2,7800,7816,104026.38,82,486,568.62,1,10369,14196.0,12796.333333333334
2018,5,2,3,10524,11157,73665.91,120,667,1052.93,2,7700,7800.0,10840.0
2020,4,3,1,7971,8106,78445.65,82,470,561.96,0,9489,10524.0,8765.0
2015,10,0,0,5675,6461,117974.08,120,716,609.49,0,8690,7971.0,8056.666666666667
2015,9,2,2,9613,10902,105989.87,75,428,617.15,2,3269,5675.0,7753.0
2017,9,2,2,15315,16609,93722.98,120,711,1633.34,2,10043,9613.0,10201.0
2021,12,0,0,10989,12120,108894.97,120,684,1127.47,1,12214,15315.0,11972.333333333334
2024,11,1,3,6741,7454,97614.94,75,423,427.72,1,6963,10989.0,11015.0
2019,3,0,1,7660,8197,92412.78,75,428,491.77,2,3325,6741.0,8463.333333333334
2018,7,2,3,6750,7014,98646.72,75,433,438.41,1,12554,7660.0,7050.333333333333
2024,8,2,1,4293,4899,91215.62,100,565,363.83,2,8396,6750.0,6234.333333333333
2022,3,2,0,10627,11394,93214.8,75,427,680.66,2,5380,4293.0,7223.333333333333
2018,12,3,1,10972,12196,114344.56,100,571,939.75,0,7105,10627.0,8630.666666666666
2021,7,2,1,8642,8738,85727.49,60,359,465.37,2,11318,10972.0,10080.333333333334
2023,11,1,3,11323,12413,52155.06,120,703,1194.01,1,13865,8642.0,10312.333333333334
2022,11,1,0,8918,9081,64841.95,60,330,441.44,1,8207,11323.0,9627.666666666666
2025,10,0,2,13514,14567,97725.78,60,343,695.3,0,5900,8918.0,11251.666666666666
2016,7,1,3,14833,15941,55394.08,82,453,1007.9,1,7010,13514.0,12421.666666666666
2018,2,1,4,2728,2744,69039.9,60,330,135.04,1,14740,14833.0,10358.333333333334
2017,12,1,3,12980,14796,68584.75,82,476,926.77,2,11141,2728.0,10180.333333333334
2019,4,2,1,14637,15970,56200.48,120,700,1536.88,0,3769,12980.0,10115.0
2017,1,2,2,2923,3251,72231.08,120,660,289.38,0,9133,14637.0,10180.0
2020,12,1,0,2506,2586,96812.73,82,473,177.8,0,12994,2923.0,6688.666666666667
2016,8,0,4,6803,7012,111448.11,75,445,454.1,0,13446,2506.0,4077.3333333333335
2020,7,2,4,9358,9414,118902.54,120,683,958.73,1,4826,6803.0,6222.333333333333
2015,9,0,2,12372,12396,55985.6,100,560,1039.25,1,3318,9358.0,9511.0
2016,9,3,3,10096,11560,79243.27,100,599,907.13,2,11015,12372.0,10608.666666666666
2018,8,2,0,13056,14836,75916.25,82,481,941.99,1,13763,10096.0,11841.333333333334
2021,10,0,3,7975,8297,103789.47,82,487,582.57,0,5658,13056.0,10375.666666666666
2021,10,3,2,14764,15765,79707.23,100,557,1233.53,1,8116,7975.0,11931.666666666666
2015,10,1,4,12831,14369,98628.75,60,338,650.53,2,10082,14764.0,11856.666666666666
2025,2,2,3,8905,9306,95963.54,100,595,794.77,2,7807,12831.0,12166.666666666666
2015,10,2,1,10384,10742,58439.68,120,664,1034.25,2,11355,8905.0,10706.666666666666
2020,8,3,0,5817,6517,67287.58,60,356,310.63,1,13929,10384.0,8368.666666666666
2018,11,0,1,7160,7549,107679.84,60,336,360.86,2,8628,5817.0,7787.0
2021,9,0,4,9140,10036,116935.48,100,550,754.05,1,5975,7160.0,7372.333333333333
2025,1,1,4,13291,14566,62104.57,100,584,1164.29,2,8126,9140.0,9863.666666666666
2025,3,2,1,15264,16486,73693.64,120,699,1600.43,1,11612,13291.0,12565.0
2016,5,3,1,12231,12905,54772.06,100,551,1010.89,0,4621,15264.0,13595.333333333334
2015,12,2,0,17203,17897,105829.14,100,565,1457.95,1,8462,12231.0,14899.333333333334
2021,3,1,3,6517,6629,57489.39,75,439,429.14,2,13254,17203.0,11983.666666666666
2016,12,3,1,8519,8888,113005.82,60,333,425.52,1,14471,6517.0,10746.333333333334
2022,5,2,0,17889,19907,110473.23,75,436,1169.94,0,13275,8519.0,10975.0
2017,5,0,3,14239,14773,93741.19,60,347,741.14,2,12993,17889.0,13549.0
2019,8,0,0,8619,8892,101522.48,75,424,548.17,2,9072,14239.0,13582.333333333334
2022,12,1,3,13132,14123,50985.58,100,550,1083.39,0,5881,8619.0,11996.666666666666
2024,8,0,2,15865,17167,66182.31,60,340,809.11,0,10368,13132.0,12538.666666666666
2023,11,0,0,8624,9706,67412.03,60,342,442.41,2,11015,15865.0,12540.333333333334
2022,3,2,2,18486,21086,110350.71,100,594,1647.1,0,8614,8624.0,14325.0
2023,8,1,3,11623,11690,102745.27,60,345,601.49,1,7423,18486.0,12911.0
2018,3,1,2,8500,9229,106380.26,75,441,562.27,1,4846,11623.0,12869.666666666666
2020,5,1,2,10841,12455,78552.6,60,338,549.64,0,9694,8500.0,10321.333333333334
2021,3,0,1,7552,8187,56653.96,75,420,475.78,2,7961,10841.0,8964.333333333334
2017,11,3,2,9677,10121,107566.68,75,414,600.94,1,8023,7552.0,9356.666666666666
2019,7,1,4,6164,6686,67662.59,60,357,330.08,0,6188,9677.0,7797.666666666667
2015,9,1,4,5111,5187,67022.05,75,439,336.56,1,13268,6164.0,6984.0
2019,10,1,0,5655,6381,56946.64,60,332,281.62,1,6152,5111.0,5643.333333333333
2023,12,0,0,11905,12981,90535.08,100,561,1001.81,2,3560,5655.0,7557.0
2022,2,2,3,8449,9164,58017.3,120,719,911.22,0,8106,11905.0,8669.666666666666
2020,4,1,0,4068,4417,80929.76,75,425,259.33,1,11957,8449.0,8140.666666666667
2018,6,0,1,15384,15892,93795.56,60,347,800.74,2,5218,4068.0,9300.333333333334
2019,5,1,3,13602,14061,96362.25,75,435,887.53,1,13981,15384.0,11018.0
2018,5,3,3,17044,18626,63064.8,120,661,1689.91,0,6414,13602.0,15343.333333333334
2024,10,1,0,11346,11431,77762.62,60,341,580.35,2,6417,17044.0,13997.333333333334
2025,2,1,4,1589,1658,62204.97,100,589,140.39,2,14464,11346.0,9993.0
2019,2,0,2,9546,10021,99056.59,60,352,504.03,0,14152,1589.0,7493.666666666667
2023,11,3,0,11986,12577,87376.96,60,331,595.1,0,5504,9546.0,7707.0
2016,12,3,4,8664,9913,77263.73,120,683,887.63,1,7084,11986.0,10065.333333333334
2023,2,0,0,14614,16080,115963.41,60,354,776.0,0,3503,8664.0,11754.666666666666
2021,4,0,3,8454,8914,94870.42,82,487,617.56,1,4967,14614.0,10577.333333333334
2018,12,3,3,9743,10457,74615.49,100,595,869.56,0,9827,8454.0,10937.0
2016,10,2,0,6815,7829,59204.24,60,338,345.52,0,7734,9743.0,8337.333333333334
2019,6,0,1,8068,8161,96953.55,75,443,536.12,0,5935,6815.0,8208.666666666666
2019,1,1,0,8718,9352,55978.21,75,448,585.85,0,9216,8068.0,7867.0
2024,6,1,4,3651,4028,89589.5,120,664,363.64,2,4951,8718.0,6812.333333333333
2022,10,1,1,20841,23735,95174.19,60,342,1069.14,2,14164,3651.0,11070.0
2015,5,0,4,7896,8722,87526.75,100,565,669.19,1,12765,20841.0,10796.0
2024,10,1,4,5697,6406,74881.46,100,564,481.97,2,13090,7896.0,11478.0
2018,8,3,1,9870,10128,83015.46,100,554,820.2,1,10508,5697.0,7821.0
2021,5,3,0,2210,2460,68015.58,100,584,193.6,1,3476,9870.0,5925.666666666667
2021,10,3,0,14193,15440,97193.45,75,442,941.0,0,10909,2210.0,8757.666666666666
2020,12,3,1,15569,16988,78329.41,100,561,1310.13,0,6085,14193.0,10657.333333333334
2015,7,0,0,113,118,115067.04,120,709,12.02,1,14580,15569.0,9958.333333333334
2018,8,1,1,18499,19682,93079.45,82,454,1259.78,0,4053,113.0,11393.666666666666
2021,1,3,0,6006,6007,58411.15,75,432,389.19,1,11101,18499.0,8206.0
2019,7,2,4,9124,9987,80109.99,120,686,938.86,1,6724,6006.0,11209.666666666666
2022,3,1,4,14670,15394,59676.25,82,467,1027.63,1,14758,9124.0,9933.333333333334
2025,8,1,2,1129,1160,108825.31,60,333,56.39,0,5579,14670.0,8307.666666666666
2022,8,0,3,11585,12840,63331.99,120,686,1192.1,0,3858,1129.0,9128.0
2020,4,2,4,10318,11341,113229.15,82,455,704.2,2,5784,11585.0,7677.333333333333
2025,4,2,4,10058,11457,78513.44,75,449,677.41,0,9950,10318.0,10653.666666666666
2021,4,3,1,16328,17674,112147.23,120,666,1631.17,2,12871,10058.0,12234.666666666666
2023,3,1,4,11869,12314,79193.41,120,681,1212.42,2,13305,16328.0,12751.666666666666
2022,2,0,4,13461,14069,90476.09,60,344,694.59,2,9954,11869.0,13886.0
2021,9,2,1,10064,10320,72127.34,75,428,646.11,2,6711,13461.0,11798.0
2024,6,3,1,5897,6006,84944.81,100,566,500.66,0,6549,10064.0,9807.333333333334
2021,11,3,0,6204,6702,81440.37,100,572,532.3,2,4093,5897.0,7388.333333333333
2015,9,2,4,10783,11226,88792.46,82,477,771.52,0,12956,6204.0,7628.0
2022,7,2,3,8386,8428,91520.92,75,419,527.06,2,7151,10783.0,8457.666666666666
2016,11,2,3,15582,17164,92404.55,120,681,1591.7,0,5614,8386.0,11583.666666666666
2016,6,0,0,7885,8483,108849.21,82,481,568.9,0,9506,15582.0,10617.666666666666
2017,5,3,0,7766,8156,118496.78,60,355,413.54,0,11414,7885.0,10411.0
2021,8,0,3,9136,9679,102048.1,82,474,649.57,0,7657,7766.0,8262.333333333334
2022,12,3,3,10666,11185,70537.28,120,662,1059.13,2,12789,9136.0,9189.333333333334
2021,6,3,0,3639,4038,66952.84,75,418,228.17,0,9358,10666.0,7813.666666666667
2019,3,3,2,9776,10512,113695.11,82,480,703.87,1,9984,3639.0,8027.0
2022,7,3,4,16921,18220,75209.95,75,429,1088.87,0,11278,9776.0,10112.0
2021,7,1,0,5159,5872,118495.42,100,550,425.62,1,10472,16921.0,10618.666666666666
2019,6,2,4,14754,16395,97266.16,82,459,1015.81,0,7229,5159.0,12278.0
2016,10,2,1,8763,9817,90043.41,75,431,566.53,0,6521,14754.0,9558.666666666666
2021,7,3,2,5168,5266,54097.56,82,463,358.92,0,4891,8763.0,9561.666666666666
2015,11,0,2,15682,17319,60772.71,82,484,1138.51,1,5693,5168.0,9871.0
2024,5,3,4,13749,14635,94909.92,100,590,1216.79,2,3067,15682.0,11533.0
2024,11,0,1,12742,14279,64495.94,120,680,1299.68,0,4610,13749.0,14057.666666666666
2022,1,0,2,7476,7781,108224.97,60,359,402.58,0,8926,12742.0,11322.333333333334
2016,3,1,0,9749,10459,67974.36,82,462,675.61,1,6687,7476.0,9989.0
2023,11,1,1,10577,12068,88815.88,100,580,920.2,2,14723,9749.0,9267.333333333334
2018,8,1,0,8415,9592,51409.65,75,418,527.62,2,13634,10577.0,9580.333333333334
2025,12,3,0,9701,10572,66908.0,82,471,685.38,2,3889,8415.0,9564.333333333334
2017,2,1,1,12488,13372,111610.97,75,420,786.74,2,11133,9701.0,10201.333333333334
2022,10,1,0,11173,11362,107979.15,82,461,772.61,0,12327,12488.0,11120.666666666666
2019,12,1,2,5122,5430,74549.69,75,441,338.82,1,12638,11173.0,9594.333333333334
2022,4,0,2,12876,14702,81005.6,60,347,670.2,2,8716,5122.0,9723.666666666666
2016,3,3,3,6034,6249,76127.63,60,336,304.11,0,3878,12876.0,8010.666666666667
2016,1,1,1,10238,11326,110967.84,75,439,674.17,0,12620,6034.0,9716.0
2023,10,3,4,12266,12573,100235.19,82,481,884.99,2,4067,10238.0,9512.666666666666
2019,6,0,4,8909,9045,113778.44,82,484,646.79,2,12120,12266.0,10471.0
2022,7,3,2,8707,9829,67937.84,82,466,608.62,0,13455,8909.0,9960.666666666666
2022,10,0,2,10216,11129,82227.03,120,681,1043.56,2,7236,8707.0,9277.333333333334
2023,12,3,0,12121,13346,64312.67,60,357,649.08,1,6173,10216.0,10348.0
2022,4,1,4,14226,15780,50003.7,75,448,955.99,0,12770,12121.0,12187.666666666666
2022,10,2,4,10455,10975,60845.92,100,592,928.4,0,9259,14226.0,12267.333333333334
2023,10,0,0,9742,10574,111362.37,75,447,653.2,1,9345,10455.0,11474.333333333334
2025,4,1,1,12743,14549,50429.01,82,470,898.38,1,3295,9742.0,10980.0
2017,12,2,0,5773,6233,70156.17,75,430,372.36,1,6599,12743.0,9419.333333333334
2024,6,2,0,8995,9523,91249.02,82,462,623.35,0,5102,5773.0,9170.333333333334
2019,7,0,2,12631,13913,71111.08,60,335,634.71,2,6644,8995.0,9133.0
2019,7,0,1,9721,9856,60070.76,82,455,663.46,0,8075,12631.0,10449.0
2015,6,3,0,12581,13909,64907.49,100,556,1049.26,0,3174,9721.0,11644.333333333334
2022,3,2,1,12989,13754,117323.37,75,428,833.89,1,10212,12581.0,11763.666666666666
2019,1,3,0,15450,16585,87005.96,120,680,1575.9,1,9231,12989.0,13673.333333333334
2021,7,1,3,6373,7051,97413.93,82,452,432.09,0,7940,15450.0,11604.0
2016,9,1,4,13362,13563,66791.19,75,417,835.79,1,7175,6373.0,11728.333333333334
2017,6,2,1,9731,10800,92471.22,82,478,697.71,2,3973,13362.0,9822.0
2022,7,2,4,8274,8688,57515.28,60,334,414.53,0,3401,9731.0,10455.666666666666
2015,12,1,1,10531,11077,93464.09,60,331,522.86,2,13458,8274.0,9512.0
2015,12,0,1,12833,14663,60574.05,82,468,900.88,2,14323,10531.0,10546.0
2021,2,2,3,4938,5121,102386.27,60,337,249.62,0,13580,12833.0,9434.0
2016,12,2,0,1761,1942,100589.49,82,479,126.53,1,4613,4938.0,6510.666666666667
2015,6,0,1,6240,6864,62062.39,120,671,628.06,0,3490,1761.0,4313.0
2015,3,0,1,25410,28802,73659.66,60,341,1299.72,2,4127,6240.0,11137.0
2020,8,2,0,9384,10068,101697.73,100,593,834.71,1,10515,25410.0,13678.0
2023,3,3,3,13516,15356,66498.1,75,446,904.22,1,6713,9384.0,16103.333333333334
2018,1,1,3,10309,11575,118849.7,120,675,1043.79,2,14636,13516.0,11069.666666666666
2019,9,1,3,6790,7203,114860.98,120,702,714.99,2,8027,10309.0,10205.0
2025,4,1,2,13977,14330,100949.91,82,458,960.22,0,9137,6790.0,10358.666666666666
2025,8,3,0,8051,8372,74141.16,100,582,702.85,1,13593,13977.0,9606.0
2018,10,1,3,8207,9267,110622.5,120,660,812.49,0,12336,8051.0,10078.333333333334
2020,3,3,0,14135,15310,113114.19,75,447,947.75,1,3109,8207.0,10131.0
2018,10,0,1,15214,15983,107926.66,120,660,1506.19,1,6693,14135.0,12518.666666666666
2024,4,2,0,11345,11782,53652.95,100,550,935.96,1,3265,15214.0,13564.666666666666
2016,7,1,4,12785,14297,86208.83,82,469,899.42,0,4769,11345.0,13114.666666666666
2024,10,1,2,9425,10352,109844.8,82,461,651.74,1,6926,12785.0,11185.0
2016,3,2,1,5024,5612,69236.42,60,354,266.77,0,8084,9425.0,9078.0
2022,5,0,3,6711,7424,75749.3,120,693,697.61,2,4199,5024.0,7053.333333333333
2015,11,0,3,7548,8554,116895.6,82,486,550.25,1,12714,6711.0,6427.666666666667
2022,2,2,1,12532,13443,71390.35,60,345,648.53,0,7583,7548.0,8930.333333333334
2020,8,3,2,14895,15487,81404.28,100,576,1286.93,2,10963,12532.0,11658.333333333334
2023,2,0,2,7884,8529,64980.5,82,470,555.82,2,6818,14895.0,11770.333333333334
2025,5,1,0,6127,6482,113632.87,60,359,329.94,0,5083,7884.0,9635.333333333334
2018,5,1,0,12296,13590,88952.52,120,681,1256.04,1,13936,6127.0,8769.0
2017,2,1,3,5444,5940,70671.1,82,456,372.37,2,10819,12296.0,7955.666666666667
2018,5,1,3,11900,12449,92954.65,120,713,1272.7,1,12719,5444.0,9880.0
